;measure;delta;theta;alpha;beta;broadband
0;wPLI_AWAKE_MEAN_SYNCH;0.0890426127417065;0.23265704392364417;0.41647295443355603;0.3913413133150858;0.4547873840315531
1;wPLI_SLEEP_MEAN_SYNCH;0.06990834694301518;0.2961781304883664;0.2741449677337292;0.016773559846444748;0.028826727184508155
2;PDC_AWAKE_GE;0.2961781304883664;0.49352744993252573;0.4805891630079857;0.3789366242933474;0.41647295443355603
3;PDC_AWAKE_GRC;0.20398410419616497;0.14579859843964144;0.19491535614369093;0.16115444224223802;0.13850199771703287
4;PDC_AWAKE_MOD;0.06161290125458381;0.07903771178290303;0.13145827979107377;0.4038575191525414;0.20398410419616497
5;PDC_AWAKE_DA;0.16115444224223802;0.16921440111083413;0.13850199771703287;0.1775286373806011;0.1775286373806011
6;PDC_AWAKE_AVGCC;0.49352744993252573;0.44195086601022027;0.4805891630079857;0.4291750246937428;0.4805891630079857
7;PDC_SLEEP_GE;0.07903771178290303;0.10577327073338516;0.09438540078706653;0.13145827979107377;0.12466583593593006
8;PDC_SLEEP_GRC;0.12466583593593006;0.2961781304883664;0.24269038298417722;0.4291750246937428;0.3074910460228458
9;PDC_SLEEP_MOD;0.4038575191525414;0.4805891630079857;0.3913413133150858;0.4547873840315531;0.49352744993252573
10;PDC_SLEEP_DA;0.0656591075976359;0.07436611111380372;0.09438540078706653;0.14579859843964144;0.04734367173750463
11;PDC_SLEEP_AVGCC;0.050635389811689774;0.0890426127417065;0.23265704392364417;0.19491535614369093;0.44195086601022027
12;DTF_AWAKE_GE;0.16115444224223802;0.19491535614369093;0.26344043430946396;0.16921440111083413;0.19491535614369093
13;DTF_AWAKE_GRC;0.16115444224223802;0.11182604848132732;0.038486689758399396;0.12466583593593006;0.13145827979107377
14;DTF_AWAKE_MOD;0.08392825456297065;0.10577327073338516;0.2228586056892456;0.12466583593593006;0.10577327073338516
15;DTF_AWAKE_DA;0.2961781304883664;0.49352744993252573;0.09438540078706653;0.26344043430946396;0.4547873840315531
16;DTF_AWAKE_AVGCC;0.16921440111083413;0.2741449677337292;0.16921440111083413;0.14579859843964144;0.19491535614369093
17;DTF_SLEEP_GE;0.4291750246937428;0.3189901040903924;0.20398410419616497;0.15334920664201845;0.2228586056892456
18;DTF_SLEEP_GRC;0.2132996387954817;0.19491535614369093;0.2228586056892456;0.23265704392364417;0.3189901040903924
19;DTF_SLEEP_MOD;0.3789366242933474;0.49352744993252573;0.13145827979107377;0.16115444224223802;0.14579859843964144
20;DTF_SLEEP_DA;0.026755523706141676;0.26344043430946396;0.49352744993252573;0.4038575191525414;0.3789366242933474
21;DTF_SLEEP_AVGCC;0.16115444224223802;0.16921440111083413;0.06990834694301518;0.13850199771703287;0.11812259538895126
